l, theta,range_max
1.476,1.14742,5.6
1.482,1.15355,5.6
1.482,1.15969,5.6
1.48,1.16583,5.6
1.477,1.17196,5.6
1.477,1.1781,5.6
1.477,1.18423,5.6
1.474,1.19037,5.6
1.474,1.19651,5.6
1.48,1.20264,5.6
1.481,1.20878,5.6
1.482,1.21491,5.6
1.485,1.22105,5.6
1.485,1.22718,5.6
1.488,1.23332,5.6
1.488,1.23946,5.6
1.489,1.24559,5.6
1.488,1.25173,5.6
1.489,1.25786,5.6
1.488,1.264,5.6
1.489,1.27014,5.6
1.488,1.27627,5.6
1.487,1.28241,5.6
1.487,1.28854,5.6
1.49,1.29468,5.6
1.498,1.30082,5.6
1.501,1.30695,5.6
1.502,1.31309,5.6
1.502,1.31922,5.6
1.502,1.32536,5.6
1.502,1.3315,5.6
1.502,1.33763,5.6
1.505,1.34377,5.6
1.506,1.3499,5.6
1.507,1.35604,5.6
1.509,1.36217,5.6
1.516,1.36831,5.6
1.517,1.37445,5.6
1.521,1.38058,5.6
1.521,1.38672,5.6
1.522,1.39285,5.6
1.53,1.39899,5.6
1.535,1.40513,5.6
1.535,1.41126,5.6
1.535,1.4174,5.6
1.535,1.42353,5.6
1.535,1.42967,5.6
1.539,1.43581,5.6
1.54,1.44194,5.6
1.541,1.44808,5.6
1.551,1.45421,5.6
1.551,1.46035,5.6
1.555,1.46649,5.6
1.556,1.47262,5.6
1.558,1.47876,5.6
1.561,1.48489,5.6
1.562,1.49103,5.6
1.567,1.49717,5.6
1.579,1.5033,5.6
1.581,1.50944,5.6
1.581,1.51557,5.6
1.583,1.52171,5.6
1.591,1.52784,5.6
1.591,1.53398,5.6
1.593,1.54012,5.6
1.6,1.54625,5.6
1.602,1.55239,5.6
1.617,1.55852,5.6
1.618,1.56466,5.6
1.631,1.5708,5.6
1.631,1.57693,5.6
1.634,1.58307,5.6
1.637,1.5892,5.6
1.644,1.59534,5.6
1.655,1.60148,5.6
1.655,1.60761,5.6
1.656,1.61375,5.6
1.662,1.61988,5.6
1.677,1.62602,5.6
1.688,1.63216,5.6
1.688,1.63829,5.6
1.689,1.64443,5.6
1.701,1.65056,5.6
1.701,1.6567,5.6
1.709,1.66284,5.6
1.716,1.66897,5.6
1.717,1.67511,5.6
1.729,1.68124,5.6
1.733,1.68738,5.6
1.747,1.69351,5.6
1.754,1.69965,5.6
1.763,1.70579,5.6
1.764,1.71192,5.6
1.768,1.71806,5.6
1.777,1.72419,5.6
1.781,1.73033,5.6
1.79,1.73647,5.6
1.798,1.7426,5.6
1.807,1.74874,5.6
1.82,1.75487,5.6
1.823,1.76101,5.6
1.826,1.76715,5.6
1.843,1.77328,5.6
1.845,1.77942,5.6
1.863,1.78555,5.6
1.869,1.79169,5.6
1.88,1.79783,5.6
1.902,1.80396,5.6
1.902,1.8101,5.6
1.909,1.81623,5.6
1.916,1.82237,5.6
1.922,1.82851,5.6
1.938,1.83464,5.6
1.953,1.84078,5.6
1.959,1.84691,5.6
1.981,1.85305,5.6
1.988,1.85918,5.6
1.992,1.86532,5.6
2.012,1.87146,5.6
2.024,1.87759,5.6
2.024,1.88373,5.6
2.044,1.88986,5.6
2.058,1.896,5.6
2.066,1.90214,5.6
2.079,1.90827,5.6
2.092,1.91441,5.6
2.101,1.92054,5.6
2.126,1.92668,5.6
2.139,1.93282,5.6
2.142,1.93895,5.6
2.162,1.94509,5.6
2.185,1.95122,5.6
2.194,1.95736,5.6
2.212,1.9635,5.6
2.226,1.96963,5.6
2.232,1.97577,5.6
2.251,1.9819,5.6
2.281,1.98804,5.6
2.281,1.99417,5.6
2.309,2.00031,5.6
2.324,2.00645,5.6
2.346,2.01258,5.6
2.351,2.01872,5.6
2.376,2.02485,5.6
2.408,2.03099,5.6
2.417,2.03713,5.6
2.423,2.04326,5.6
2.448,2.0494,5.6
2.47,2.05553,5.6
2.477,2.06167,5.6
2.513,2.06781,5.6
2.525,2.07394,5.6
2.558,2.08008,5.6
2.575,2.08621,5.6
2.594,2.09235,5.6
