l, theta
1.511,1.85305
1.511,1.85918
1.511,1.86532
1.517,1.87146
1.52,1.87759
1.523,1.88373
1.528,1.88986
1.532,1.896
1.532,1.90214
1.532,1.90827
1.54,1.91441
1.54,1.92054
1.541,1.92668
1.542,1.93282
1.549,1.93895
1.557,1.94509
1.56,1.95122
1.56,1.95736
1.562,1.9635
1.575,1.96963
1.575,1.97577
1.575,1.9819
1.576,1.98804
1.577,1.99417
1.586,2.00031
1.586,2.00645
1.592,2.01258
1.592,2.01872
1.6,2.02485
1.607,2.03099
1.61,2.03713
1.61,2.04326
1.616,2.0494
1.617,2.05553
1.631,2.06167
1.631,2.06781
1.631,2.07394
1.637,2.08008
1.645,2.08621
